"gender","id","race","ses","schtyp","prgtype","read","write","math","science","socst"
1,17,1,2,1,"academic",47,57,48,44,41
1,122,4,2,1,"academic",52,59,58,53,66
1,191,4,3,2,"academic",47,52,43,48,61
1,83,4,2,1,"vocati",50,62,41,55,31
1,182,4,2,2,"academic",44,52,43,44,51
1,6,1,1,1,"academic",47,41,46,40,41
1,46,3,1,1,"academic",45,55,44,34,41
1,43,3,1,1,"academic",47,37,43,42,46
1,96,4,3,1,"academic",65,54,61,58,56
1,138,4,2,1,"vocati",43,57,40,50,51
1,10,1,2,1,"general",47,54,49,53,61
1,71,4,2,1,"general",57,62,56,58,66
1,139,4,2,1,"academic",68,59,61,55,71
1,110,4,2,1,"vocati",52,55,50,54,61
1,148,4,2,1,"vocati",42,57,51,47,61
1,109,4,2,1,"general",42,39,42,42,41
1,39,3,3,1,"academic",66,67,67,61,66
1,147,4,1,1,"academic",47,62,53,53,61
1,74,4,2,1,"academic",57,50,50,51,58
1,198,4,3,2,"academic",47,61,51,63,31
1,161,4,1,1,"academic",57,62,72,61,61
1,112,4,2,1,"academic",52,59,48,55,61
1,69,4,1,1,"vocati",44,44,40,40,31
1,156,4,2,1,"academic",50,59,53,61,61
1,111,4,1,1,"general",39,54,39,47,36
1,186,4,2,2,"academic",57,62,63,55,41
1,98,4,1,1,"vocati",57,60,51,53,37
1,119,4,1,1,"general",42,57,45,50,43
1,13,1,2,1,"vocati",47,46,39,47,61
1,51,3,3,1,"general",42,36,42,31,39
1,26,2,3,1,"academic",60,59,62,61,51
1,36,3,1,1,"general",44,49,44,35,51
1,135,4,1,1,"academic",63,60,65,54,66
1,59,4,2,1,"academic",65,67,63,55,71
1,78,4,2,1,"academic",39,54,54,53,41
1,64,4,3,1,"vocati",50,52,45,58,36
1,63,4,1,1,"general",52,65,60,56,51
1,79,4,2,1,"academic",60,62,49,50,51
1,193,4,2,2,"academic",44,49,48,39,51
1,92,4,3,1,"general",52,67,57,63,61
1,160,4,2,1,"academic",55,65,55,50,61
1,32,2,3,1,"vocati",50,67,66,66,56
1,23,2,1,1,"academic",65,65,64,58,71
1,158,4,2,1,"general",52,54,55,53,51
1,25,2,2,1,"general",47,44,42,42,36
1,188,4,3,2,"academic",63,62,56,55,61
1,52,3,1,1,"academic",50,46,53,53,66
1,124,4,1,1,"vocati",42,54,41,42,41
1,175,4,3,2,"general",36,57,42,50,41
1,184,4,2,2,"vocati",50,52,53,55,56
1,30,2,3,1,"academic",41,59,42,34,51
1,179,4,2,2,"academic",47,65,60,50,56
1,31,2,2,2,"general",55,59,52,42,56
1,145,4,2,1,"vocati",42,46,38,36,46
1,187,4,2,2,"general",57,41,57,55,52
1,118,4,2,1,"general",55,62,58,58,61
1,137,4,3,1,"academic",63,65,65,53,61
